2016 Oscar Shorts,Oscar Shorts,"Miller, Christopher E."
2016: Obama's America,2016: Obama's America,"D'Souza, Dinesh_>, <Person id:2769225[http] name:_Sullivan, John"
2017 Oscar Shorts,Oscar Shorts,"Miller, Christopher E."
20th Century Women,20th Century Women,"Mills, Mike"
21 and Over,21 & Over,"Lucas, Jon_>, <Person id:0601859[http] name:_Moore, Scott"
21 Grams,21 Grams,"Iñárritu, Alejandro González"
21 Jump Street,21 Jump Street,"Lord, Phil_>, <Person id:0588087[http] name:_Miller, Christopher"
22 Jump Street,22 Jump Street,"Lord, Phil_>, <Person id:0588087[http] name:_Miller, Christopher"
23 Blast,23 Blast,"Baker, Dylan"
24 City,Er shi si cheng ji,"Jia, Zhangke"
24 Hour Party People,24 Hour Party People,"Winterbottom, Michael"
25th Hour,25th Hour,"Lee, Spike"
27 Dresses,27 Dresses,"Fletcher, Anne"
28 Days,28 Days,"Thomas, Betty"
28 Days Later...,28 Days Later...,"Boyle, Danny"
28 Hotel Rooms,28 Hotel Rooms,"Ross, Matt"
28 Weeks Later,28 Weeks Later,"Fresnadillo, Juan Carlos"
2by4,2by4,"Smallhorne, Jimmy"
3 and 1/2 Minutes,"3½ Minutes, Ten Bullets","Silver, Marc"
3 Backyards,3 Backyards,"Mendelsohn, Eric"
3 Dancing Slaves,Le clan,"Morel, Gaël"
3 Days to Kill,3 Days to Kill,McG
3 Hearts,3 coeurs,"Jacquot, Benoît"
3 Idiotas,3 Idiots,"Hirani, Rajkumar"
3 Idiots,3 Idiots,"Hirani, Rajkumar"
3 Men and a Baby,3 Men and a Baby,"Nimoy, Leonard"
3 Men and a Little Lady,3 Men and a Little Lady,"Ardolino, Emile"
3 Nights in the Desert,3 Nights in the Desert,"Cowan, Gabriel"
3 Ninjas,3 Ninjas,"Turteltaub, Jon"
3 Ninjas Kick Back,3 Ninjas Kick Back,"Kanganis, Charles T."
3 Ninjas: High Noon at Mega Mountain,3 Ninjas: High Noon at Mega Mountain,"McNamara, Sean"
3 Strikes,3 Strikes,"Pooh, DJ"
3:10 to Yuma,3:10 to Yuma,"Mangold, James"
30 Beats,30 Beats,"Lloyd, Alexis"
30 Days,,
30 Days of Night,30 Days of Night,"Slade, David"
30 Minutes or Less,30 Minutes or Less,"Fleischer, Ruben"
30 Years of Garbage: The Garbage Pail Kids Story,30 Years of Garbage: The Garbage Pail Kids Story,"Zapata, Jeff_>, <Person id:6474939[http] name:_Simko, Joe"
30 Years to Life,30 Years to Life,"Middleton, Vanessa"
300: Rise of an Empire,300: Rise of an Empire,"Murro, Noam"
3000 Miles to Graceland,3000 Miles to Graceland,"Lichtenstein, Demian"
35 and Ticking,35 and Ticking,"Parr, Russ"
35 Shots of Rum,35 rhums,"Denis, Claire"
39 Pounds of Love,39 Pounds of Love,"Menkin, Dani"
3-Iron,Bin-jip,"Kim, Ki-duk"
4 Days in France,Jours de France,"Reybaud, Jérôme"
4 Little Girls,4 Little Girls,"Lee, Spike"
"4 Months, 3 Weeks and 2 Days","4 luni, 3 saptamâni si 2 zile","Mungiu, Cristian"
4:44 Last Day on Earth ,4:44 Last Day on Earth,"Ferrara, Abel"
40 Days and 40 Nights,40 Days and 40 Nights,"Lehmann, Michael"
42: Forty Two Up,42 Up,"Apted, Michael"
44 Inch Chest,44 Inch Chest,"Venville, Malcolm"
45 Years,45 Years,"Haigh, Andrew"
47 Meters Down,47 Meters Down,"Roberts, Johannes"
47 Ronin,47 Ronin,"Rinsch, Carl"
48 Hrs.,48 Hrs.,"Hill, Walter"
49 Up,49 Up,"Apted, Michael_>, <Person id:0021975[http] name:_Almond, Paul"
5 Broken Cameras,Five Broken Cameras,"Burnat, Emad_>, <Person id:1519079[http] name:_Davidi, Guy"
5 Days of War,5 Days of War,"Harlin, Renny"
"5 de Mayo, La Batalla",Cinco de Mayo: La batalla,"Lara, Rafa"
5 Flights Up,5 Flights Up,"Loncraine, Richard"
5 to 7,5 to 7,"Levin, Victor"
50 First Dates,50 First Dates,"Segal, Peter"
50 to 1,50 to 1,"Wilson, Jim"
50/50,50/50,"Levine, Jonathan"
51 Birch Street,51 Birch Street,"Block, Doug"
52 Tuesdays,52 Tuesdays,"Hyde, Sophie"
56 Up,56 Up,"Apted, Michael_>, <Person id:0021975[http] name:_Almond, Paul"
5x2,5x2,"Ozon, François"
6 Month Rule,6 Month Rule,"Weaver, Blayne"
7 Chinese Brothers,7 Chinese Brothers,"Byington, Bob"
7 Days,Seven Days,"McPherson, John_>, <Person id:0425540[http] name:_Johnson, Kenneth_>, <Person id:0515237[http] name:_Livingston, David_>, <Person id:0180891[http] name:_Correll, Charles_>, <Person id:0681604[http] name:_Picerni, Charlie_>, <Person id:0475960[http] name:_Kurt, Don_>, <Person id:0892144[http] name:_Vejar, Michael_>, <Person id:0490868[http] name:_Laughlin, Scott"
7 Witches,7 Witches,"Hall, Brady"
71,'71,"Demange, Yann"
71: Into the Fire,Pohwasogeuro,"Lee, John H."
78/52,78/52,"Philippe, Alexandre O."
7th Street,7th Street,"Pais, Josh"
8 Films to Die For,The Wicked Within,"Alaimo, Jay"
8 Heads in a Duffel Bag,8 Heads in a Duffel Bag,"Schulman, Tom"
8 Mile,8 Mile,"Hanson, Curtis"
8 Million Ways to Die,8 Million Ways to Die,"Ashby, Hal"
8 Seconds,8 Seconds,"Avildsen, John G."
8 Women,8 femmes,"Ozon, François"
8: The Mormon Proposition,8: The Mormon Proposition,"Cowan, Reed_>, <Person id:1481222[http] name:_Greenstreet, Steven"
8« (1963),8½,"Fellini, Federico"
8« Women,8 femmes,"Ozon, François"
88 Minutes,88 Minutes,"Avnet, Jon"
8MM,8MM,"Schumacher, Joel"
9 Songs,9 Songs,"Winterbottom, Michael"
90 Minutes in Heaven,90 Minutes in Heaven,"Polish, Michael"
99 Homes,99 Homes,"Bahrani, Ramin"
A Aa,A Aa,"Srinivas, Trivikram"
A Bad Moms Christmas,A Bad Moms Christmas,"Lucas, Jon_>, <Person id:0601859[http] name:_Moore, Scott"
A Ballerina's Tale,A Ballerina's Tale,"George, Nelson"
A Band Called Death,A Band Called Death,"Covino, Mark Christopher_>, <Person id:4558047[http] name:_Howlett, Jeff"
A Beautiful Life,A Beautiful Life,"Chomski, Alejandro"
A Beautiful Mind,A Beautiful Mind,"Howard, Ron"
A Beautiful Now,A Beautiful Now,"Amavia, Daniela"
A Beautiful Planet,A Beautiful Planet,"Myers, Toni"
A Beginner's Guide to Snuff,A Beginner's Guide to Snuff,"Altieri, Mitchell"
A Better Life,A Better Life,"Weitz, Chris"
A Bigger Splash,A Bigger Splash,"Guadagnino, Luca"
A Bird of the Air,A Bird of the Air,"Whitton, Margaret"
A Bit of Bad Luck,A Bit of Bad Luck,"Fuhrman, John"
A Borrowed Identity,Dancing Arabs,"Riklis, Eran"
A Boy Called Po,A Boy Called Po,"Asher, John"
A Brilliant Young Mind,X+Y,"Matthews, Morgan"
A Bronx Tale,A Bronx Tale,"De Niro, Robert"
A Bug's Life,A Bug's Life,"Lasseter, John_>, <Person id:0004056[http] name:_Stanton, Andrew"
A Cat in Paris,Une vie de chat,"Felicioli, Jean-Loup_>, <Person id:0300944[http] name:_Gagnol, Alain"
A Chef in Love,Shekvarebuli kulinaris ataserti retsepti,"Dzhordzhadze, Nana"
A Chorus Line,A Chorus Line,"Attenborough, Richard"
A Christmas Carol (2009),A Christmas Carol,"Zemeckis, Robert"
A Christmas Story,A Christmas Story,"Clark, Bob"
A Christmas Tale,Un conte de Noël,"Desplechin, Arnaud"
A Cinderella Story,A Cinderella Story,"Rosman, Mark"
A Civil Action,A Civil Action,"Zaillian, Steven"
A Coffee in Berlin,Oh Boy,"Gerster, Jan Ole"
A Common Thread,Brodeuses,"Faucher, Éléonore"
A Cure for Wellness,A Cure for Wellness,"Verbinski, Gore"
A Dangerous Method,A Dangerous Method,"Cronenberg, David"
A Dark Truth,A Dark Truth,"Lee, Damian"
A Day Without a Mexican,A Day Without a Mexican,"Arau, Sergio"
A Decade Under the Influence,A Decade Under the Influence,"Demme, Ted_>, <Person id:0481418[http] name:_LaGravenese, Richard"
A Decent Factory,A Decent Factory,"Balmès, Thomas"
A Different American Dream,A Different American Dream,"Brook, Simon"
A Dirty Shame,A Dirty Shame,"Waters, John"
A Dog of Flanders,A Dog of Flanders,"Brodie, Kevin"
A Dog's Purpose,A Dog's Purpose,"Hallström, Lasse"
A Family Affair,A Family Affair,"Fassaert, Tom"
A Family Thing,A Family Thing,"Pearce, Richard"
A Far Off Place,A Far Off Place,"Salomon, Mikael"
A Few Good Men,A Few Good Men,"Reiner, Rob"
A Field in England,A Field in England,"Wheatley, Ben"
A Fierce Green Fire,A Fierce Green Fire,"Kitchell, Mark"
A Film Unfinished,Shtikat Haarchion,"Hersonski, Yael"
A Fine Mess,A Fine Mess,"Edwards, Blake"
A Fish Called Wanda,A Fish Called Wanda,"Crichton, Charles_>, <Person id:0000092[http] name:_Cleese, John"
A Fish Without a Bicycle,Fish Without a Bicycle,"Green, Brian Austin"
A Five Star Life,Viaggio sola,"Tognazzi, Maria Sole"
A Fond Kiss,Ae Fond Kiss...,"Loach, Ken"
A Fool,Yi ge shao zi,"Chen, Jianbin"
A Foreign Affair,A Foreign Affair,"Wilder, Billy"
A Four Letter Word,A Four Letter Word,"Andreas, Casper"
A Ghost Story,A Ghost Story,"Lowery, David"
A Girl and a Gun (2013),A Girl and a Gun,"Czubek, Cathryne"
A Girl Walks Home Alone at Night,A Girl Walks Home Alone at Night,"Amirpour, Ana Lily"
A Glimpse Inside the Mind of Charles Swan III,A Glimpse Inside the Mind of Charles Swan III,"Coppola, Roman"
A Good Day to be Black and Sexy,A Good Day to Be Black & Sexy,"Dortch, Dennis"
A Good Day to Die Hard,A Good Day to Die Hard,"Moore, John"
A Good Old Fashioned Orgy,A Good Old Fashioned Orgy,"Gregory, Alex_>, <Person id:0404752[http] name:_Huyck, Peter"
A Good Woman,A Good Woman,"Barker, Mike"
A Good Year,A Good Year,"Scott, Ridley"
A Goofy Movie,A Goofy Movie,"Lima, Kevin"
A Green Story,A Green Story,"Agiashvili, Nick"
A Guide to Recognizing Your Saints,A Guide to Recognizing Your Saints,"Montiel, Dito"
A Guy Thing,A Guy Thing,"Koch, Chris"
A Hard Day,Kkeut-kka-ji-gan-da,"Kim, Seong-hun"
A Hard Day's Night,A Hard Day's Night,"Lester, Richard"
A Haunted House,A Haunted House,"Tiddes, Michael"
A Haunted House 2,A Haunted House 2,"Tiddes, Michael"
A Hijacking,Kapringen,"Lindholm, Tobias"
A History of Violence,A History of Violence,"Cronenberg, David"
A Hole in My Heart,Ett hål i mitt hjärta,"Moodysson, Lukas"
A Hologram for the King,A Hologram for the King,"Tykwer, Tom"
A Home at the End of the World,A Home at the End of the World,"Mayer, Michael"
A Jihad for Love,A Jihad for Love,"Sharma, Parvez"
A Journey Through French Cinema,Voyage à travers le cinéma français,"Tavernier, Bertrand"
A Journey Through Time With Antony,Pei an dong ni du guo man chang sui yue,"Chun, Janet"
A Kid in King Arthur's Court,A Kid in King Arthur's Court,"Gottlieb, Michael"
A Kind of Murder,A Kind of Murder,"Goddard, Andy"
A Kiss Before Dying,A Kiss Before Dying,"Dearden, James"
A Knight's Tale,A Knight's Tale,"Helgeland, Brian"
A La Mala,A la mala,"Ibarra, Pedro Pablo"
A Late Quartet,A Late Quartet,"Zilberman, Yaron"
A Lawyer Walks into a Bar,A Lawyer Walks Into a Bar...,"Chaikin, Eric"
A League of Ordinary Gentlemen,A League of Ordinary Gentlemen,"Browne, Christopher"
A League of Their Own,A League of Their Own,"Marshall, Penny"
A Lego Brickumentary,A Lego Brickumentary,"Davidson, Kief_>, <Person id:0432616[http] name:_Junge, Daniel"
A Letter to True,A Letter to True,"Weber, Bruce"
A Liar's Autobiography: The Untrue Story of Monty Python's Graham Chapman,A Liar's Autobiography: The Untrue Story of Monty Python's Graham Chapman,"Jones, Bill_>, <Person id:2461935[http] name:_Simpson, Jeff_>, <Person id:1507245[http] name:_Timlett, Ben"
A Life Less Ordinary,A Life Less Ordinary,"Boyle, Danny"
A Little Bit of Heaven,A Little Bit of Heaven,"Kassell, Nicole"
A Little Chaos,A Little Chaos,"Rickman, Alan"
A Little Help,A Little Help,"Weithorn, Michael J."
A Little Princess,A Little Princess,"Cuarón, Alfonso"
A Little Sex,A Little Sex,"Paltrow, Bruce"
A Long Way Down,A Long Way Down,"Chaumeil, Pascal"
A Long Way Off,A Long Way Off,"Davis, Michael_>, <Person id:2988017[http] name:_Errington, John"
A Lot Like Love,A Lot Like Love,"Cole, Nigel"
A Love Song for Bobby Long,A Love Song for Bobby Long,"Gabel, Shainee"
A Low Down Dirty Shame,A Low Down Dirty Shame,"Wayans, Keenen Ivory"
A Madea Christmas,A Madea Christmas,"Perry, Tyler"
A Man and a Woman: 20 Years Later,"Un homme et une femme, 20 ans déjà","Lelouch, Claude"
A Man Apart,A Man Apart,"Gray, F. Gary"
A Man Called Ove,En man som heter Ove,"Holm, Hannes"
A Man Named Pearl,A Man Named Pearl,"Galloway, Scott_>, <Person id:2358765[http] name:_Pierson, Brent"
A Man of No Importance,A Man of No Importance,"Krishnamma, Suri"
A Map of the World,A Map of the World,"Elliott, Scott"
A Master Builder,A Master Builder,"Demme, Jonathan"
A Matter of Faith,A Matter of Faith,"Christiano, Rich"
A Matter of Taste,Une affaire de goût,"Rapp, Bernard"
A Melody to Remember,Op-pa saeng-gak,"Lee, Han"
A Midsummer Night's Dream,A Midsummer Night's Dream,"Hoffman, Michael"
A Midsummer Night's Sex Comedy,A Midsummer Night's Sex Comedy,"Allen, Woody"
A Mighty Heart,A Mighty Heart,"Winterbottom, Michael"
A Mighty Wind,A Mighty Wind,"Guest, Christopher"
A Moment of Innocence,Nun va Goldoon,"Makhmalbaf, Mohsen"
A Monster Calls,A Monster Calls,"Bayona, J.A."
A Monster with a Thousand Heads,Un monstruo de mil cabezas,"Plá, Rodrigo"
A Month by the Lake,A Month by the Lake,"Irvin, John"
A Most Violent Year,A Most Violent Year,"Chandor, J.C."
A Most Wanted Man,A Most Wanted Man,"Corbijn, Anton"
A Mother's Courage: Talking Back to Autism,Sólskinsdrengurinn,"Friðriksson, Friðrik Þór"
A Murder in the Park,A Murder in the Park,"Rech, Christopher S._>, <Person id:4432410[http] name:_Kimber, Brandon"
A New Day In Old Sana'a,A New Day in Old Sana'a,"Hirsi, Bader Ben"
A New Life,La vie nouvelle,"Grandrieux, Philippe"
A Night at the Roxbury,A Night at the Roxbury,"Fortenberry, John_>, <Person id:0002132[http] name:_Heckerling, Amy"
A Night in Heaven,A Night in Heaven,"Avildsen, John G."
A Night in the Life of Jimmy Reardon,A Night in the Life of Jimmy Reardon,"Richert, William"
A Nightmare on Elm Street,A Nightmare on Elm Street,"Craven, Wes"
A Nightmare on Elm Street 2: Freddy's Revenge,A Nightmare on Elm Street Part 2: Freddy's Revenge,"Sholder, Jack"
A Nightmare on Elm Street 3: Dream Warriors,A Nightmare on Elm Street 3: Dream Warriors,"Russell, Chuck"
A Nightmare on Elm Street 4: The Dream Master,A Nightmare on Elm Street 4: The Dream Master,"Harlin, Renny"
A Nightmare on Elm Street 5: The Dream Child,A Nightmare on Elm Street: The Dream Child,"Hopkins, Stephen"
A Passage to India,A Passage to India,"Lean, David"
A People Uncounted,A People Uncounted,"Yeger, Aaron"
A Perfect Day,A Perfect Day,"de Aranoa, Fernando León"
A Perfect Getaway,A Perfect Getaway,"Twohy, David"
A Perfect Murder,A Perfect Murder,"Davis, Andrew"
A Perfect World,A Perfect World,"Eastwood, Clint"
A Pigeon Sat on a Branch Reflecting on Existence,En duva satt på en gren och funderade på tillvaron,"Andersson, Roy"
A Place at the Table,A Place at the Table,"Jacobson, Kristi_>, <Person id:1091262[http] name:_Silverbush, Lori"
A Place Called Chiapas,A Place Called Chiapas,"Wild, Nettie"
A Plumm Summer,A Plumm Summer,"Zelder, Caroline"
A Poem Is a Naked Person,A Poem Is a Naked Person,"Blank, Les"
A Prairie Home Companion,A Prairie Home Companion,"Altman, Robert"
A Price Above Rubies,A Price Above Rubies,"Yakin, Boaz"
A Private Function,A Private Function,"Mowbray, Malcolm"
A Prophet,Un prophète,"Audiard, Jacques"
A Pyromaniac's Love Story,A Pyromaniac's Love Story,"Brand, Joshua"
A Question of Faith,A Question of Faith,"Otto, Kevan"
A Quiet Passion,A Quiet Passion,"Davies, Terence"
A Rage in Harlem,A Rage in Harlem,"Duke, Bill"
A Real Young Girl,Une vraie jeune fille,"Breillat, Catherine"
A Reason,A Reason,"Schilling, Dominique"
A River Runs Through It,A River Runs Through It,"Redford, Robert"
A Room for Romeo Brass,A Room for Romeo Brass,"Meadows, Shane"
A Room with a View,A Room with a View,"Ivory, James"
A Royal Affair,En kongelig affære,"Arcel, Nikolaj"
A Royal Night Out,A Royal Night Out,"Jarrold, Julian"
A Rumor of Angels,A Rumor of Angels,"O'Fallon, Peter"
A Scanner Darkly,A Scanner Darkly,"Linklater, Richard"
A Screaming Man,Un homme qui crie,"Haroun, Mahamat-Saleh"
A Secret,Un secret,"Miller, Claude"
A Separation,Jodaeiye Nader az Simin,"Farhadi, Asghar"
A Series of Unfortunate Events,A Series of Unfortunate Events,"Sonnenfeld, Barry_>, <Person id:0657372[http] name:_Palansky, Mark_>, <Person id:0919514[http] name:_Welch, Bo_>, <Person id:0003398[http] name:_Peristere, Loni"
A Serious Man,A Serious Man,"Coen, Ethan_>, <Person id:0001054[http] name:_Coen, Joel"
A Silent Love,A Silent Love,"Hidalgo, Federico"
A Simple Plan,A Simple Plan,"Raimi, Sam"
A Simple Wish,A Simple Wish,"Ritchie, Michael"
A Single Man,A Single Man,"Ford, Tom"
A Single Shot,A Single Shot,"Rosenthal, David M."
A Slipping Down Life,A Slipping-Down Life,"Kalem, Toni"
A Small Good Thing,A Small Good Thing,"Boll, Pamela Tanner"
A Smile Like Yours,A Smile Like Yours,"Samples, Keith"
A Soldier's Daughter Never Cries,A Soldier's Daughter Never Cries,"Ivory, James"
A Soldier's Story,A Soldier's Story,"Jewison, Norman"
A Somewhat Gentle Man,En ganske snill mann,"Moland, Hans Petter"
A Song for Martin,En sång för Martin,"August, Bille"
A Sound of Thunder,A Sound of Thunder,"Hyams, Peter"
A Space Program,A Space Program,"Neistat, Van"
A State of Mind,A State of Mind,"Gordon, Daniel"
A Stir of Echoes,Stir of Echoes,"Koepp, David"
A Stranger Among Us,A Stranger Among Us,"Lumet, Sidney"
A Street Cat Named Bob,A Street Cat Named Bob,"Spottiswoode, Roger"
A Summer's Tale,Conte d'été,"Rohmer, Éric"
A Sunday in the Park,Sunday in the Park,"Winter, Donovan"
A Tale of Love and Darkness,A Tale of Love and Darkness,"Portman, Natalie"
A Tale of Two Pizzas,A Tale of Two Pizzas,"Sassone, Vincent"
A Tale of Two Sisters,"Janghwa, Hongryeon","Kim, Jee-woon"
A Talking Picture,Um Filme Falado,"de Oliveira, Manoel"
A Taxi Driver,Taeksi Woonjunsa,"Jang, Hun"
A Teacher,A Teacher,"Fidell, Hannah"
A Thin Line Between Love and Hate,A Thin Line Between Love and Hate,"Lawrence, Martin"
A Thousand Acres,A Thousand Acres,"Moorhouse, Jocelyn"
A Thousand Clouds of Peace,"Mil nubes de paz cercan el cielo, amor, jamás acabarás de ser amor","Hernández, Julián"
A Thousand Words,A Thousand Words,"Robbins, Brian"
A Thousand Years of Good Prayers,A Thousand Years of Good Prayers,"Wang, Wayne"
A Time for Drunken Horses,Zamani barayé masti asbha,"Ghobadi, Bahman"
A Time to Kill,A Time to Kill,"Schumacher, Joel"
A Touch of Sin,Tian zhu ding,"Jia, Zhangke"
A Tout de Suite,À tout de suite,"Jacquot, Benoît"
A Town Called Panic,Panique au village,"Aubier, Stéphane_>, <Person id:0665262[http] name:_Patar, Vincent"
A Trial in Prague,A Trial in Prague,"Justman, Zuzana"
A United Kingdom,A United Kingdom,"Asante, Amma"
A Very Brady Sequel,A Very Brady Sequel,"Sanford, Arlene"
A Very Harold & Kumar 3D Christmas,A Very Harold & Kumar 3D Christmas,"Strauss-Schulson, Todd"
A Very Long Engagement,Un long dimanche de fiançailles,"Jeunet, Jean-Pierre"
A View to a Kill,A View to a Kill,"Glen, John"
A Wake in Providence,A Wake in Providence,"Jr., Rosario Roveto"
A Walk Among the Tombstones,A Walk Among the Tombstones,"Frank, Scott"
A Walk in the Clouds,A Walk in the Clouds,"Arau, Alfonso"
A Walk in the Woods,A Walk in the Woods,"Kwapis, Ken"
A Walk on the Moon,A Walk on the Moon,"Goldwyn, Tony"
A Walk to Remember,A Walk to Remember,"Shankman, Adam"
A War,Krigen,"Lindholm, Tobias"
A Wedding Invitation,Fen shou he yue,"Oh, Ki-hwan"
A Werewolf Boy,Neuk-dae-so-nyeon,"Jo, Sung-hee"
A Wink and a Smile,A Wink and a Smile,"Timmons, Deirdre Allen"
A Woman in Berlin,Anonyma - Eine Frau in Berlin,"Färberböck, Max"
A Woman is a Woman,Une femme est une femme,"Godard, Jean-Luc"
